Freq.	V(out)
6.60693448007594e+000	(-8.07693936539283e-003dB,-7.65320834748546e-002°)
6.76082975391980e+000	(-8.06592122248978e-003dB,-7.83148180459696e-002°)
6.91830970918935e+000	(-8.05438380020040e-003dB,-8.01390830851871e-002°)
7.07945784384136e+000	(-8.04230262464668e-003dB,-8.20058463365524e-002°)
7.24435960074988e+000	(-8.02965206843511e-003dB,-8.39160981126037e-002°)
7.41310241300916e+000	(-8.01640529629201e-003dB,-8.58708518219746e-002°)
7.58577575029182e+000	(-8.00253420811854e-003dB,-8.78711445094266e-002°)
7.76247116628690e+000	(-7.98800937935821e-003dB,-8.99180374086162e-002°)
7.94328234724279e+000	(-7.97279999859624e-003dB,-9.20126165078795e-002°)
8.12830516164097e+000	(-7.95687380216232e-003dB,-9.41559931293826e-002°)
8.31763771102669e+000	(-7.94019700568102e-003dB,-9.63493045219211e-002°)
8.51138038202374e+000	(-7.92273423238485e-003dB,-9.85937144677534e-002°)
8.70963589956078e+000	(-7.90444843804480e-003dB,-1.00890413903737e-001°)
8.91250938133743e+000	(-7.88530083237760e-003dB,-1.03240621557193e-001°)
9.12010839355907e+000	(-7.86525079674502e-003dB,-1.05645584596796e-001°)
9.33254300796988e+000	(-7.84425579788897e-003dB,-1.08106579298883e-001°)
9.54992586021433e+000	(-7.82227129780794e-003dB,-1.10624911729585e-001°)
9.77237220955808e+000	(-7.79925065911750e-003dB,-1.13201918443090e-001°)
9.99999999999997e+000	(-7.77514504616823e-003dB,-1.15838967196550e-001°)
1.02329299228075e+001	(-7.74990332134507e-003dB,-1.18537457681888e-001°)
1.04712854805090e+001	(-7.72347193657934e-003dB,-1.21298822275132e-001°)
1.07151930523760e+001	(-7.69579481971373e-003dB,-1.24124526803469e-001°)
1.09647819614318e+001	(-7.66681325548438e-003dB,-1.27016071330678e-001°)
1.12201845430196e+001	(-7.63646576088785e-003dB,-1.29974990961222e-001°)
1.14815362149688e+001	(-7.60468795476790e-003dB,-1.33002856663633e-001°)
1.17489755493953e+001	(-7.57141242103078e-003dB,-1.36101276113483e-001°)
1.20226443461741e+001	(-7.53656856568645e-003dB,-1.39271894556644e-001°)
1.23026877081238e+001	(-7.50008246696134e-003dB,-1.42516395693171e-001°)
1.25892541179416e+001	(-7.46187671836197e-003dB,-1.45836502582427e-001°)
1.28824955169313e+001	(-7.42187026437154e-003dB,-1.49233978569942e-001°)
1.31825673855640e+001	(-7.37997822839948e-003dB,-1.52710628236635e-001°)
1.34896288259165e+001	(-7.33611173259908e-003dB,-1.56268298370866e-001°)
1.38038426460288e+001	(-7.29017770917628e-003dB,-1.59908878963964e-001°)
1.41253754462275e+001	(-7.24207870276761e-003dB,-1.63634304229876e-001°)
1.44543977074592e+001	(-7.19171266362765e-003dB,-1.67446553649491e-001°)
1.47910838816820e+001	(-7.13897273079255e-003dB,-1.71347653040250e-001°)
1.51356124843620e+001	(-7.08374700536567e-003dB,-1.75339675651904e-001°)
1.54881661891248e+001	(-7.02591831272109e-003dB,-1.79424743288800e-001°)
1.58489319246111e+001	(-6.96536395384910e-003dB,-1.83605027459738e-001°)
1.62181009735892e+001	(-6.90195544462647e-003dB,-1.87882750555738e-001°)
1.65958690743755e+001	(-6.83555824308116e-003dB,-1.92260187056967e-001°)
1.69824365246174e+001	(-6.76603146352407e-003dB,-1.96739664769017e-001°)
1.73780082874937e+001	(-6.69322757737814e-003dB,-2.01323566089882e-001°)
1.77827941003892e+001	(-6.61699209977539e-003dB,-2.06014329308078e-001°)
1.81970085860998e+001	(-6.53716326136077e-003dB,-2.10814449932959e-001°)
1.86208713666286e+001	(-6.45357166464098e-003dB,-2.15726482058040e-001°)
1.90546071796324e+001	(-6.36603992406873e-003dB,-2.20753039758254e-001°)
1.94984459975804e+001	(-6.27438228916084e-003dB,-2.25896798522152e-001°)
1.99526231496887e+001	(-6.17840424971101e-003dB,-2.31160496719843e-001°)
2.04173794466952e+001	(-6.07790212250776e-003dB,-2.36546937107997e-001°)
2.08929613085403e+001	(-5.97266261840438e-003dB,-2.42058988372599e-001°)
2.13796208950222e+001	(-5.86246238892971e-003dB,-2.47699586710836e-001°)
2.18776162394954e+001	(-5.74706755158273e-003dB,-2.53471737453177e-001°)
2.23872113856833e+001	(-5.62623319252106e-003dB,-2.59378516726633e-001°)
2.29086765276776e+001	(-5.49970284589933e-003dB,-2.65423073160694e-001°)
2.34422881531991e+001	(-5.36720794844949e-003dB,-2.71608629637060e-001°)
2.39883291901948e+001	(-5.22846726838037e-003dB,-2.77938485084416e-001°)
2.45470891568502e+001	(-5.08318630720911e-003dB,-2.84416016319795e-001°)
2.51188643150957e+001	(-4.93105667323374e-003dB,-2.91044679937774e-001°)
2.57039578276885e+001	(-4.77175542552014e-003dB,-2.97828014249076e-001°)
2.63026799189537e+001	(-4.60494438670828e-003dB,-3.04769641270185e-001°)
2.69153480392690e+001	(-4.43026942328309e-003dB,-3.11873268765242e-001°)
2.75422870333815e+001	(-4.24735969190522e-003dB,-3.19142692342424e-001°)
2.81838293126444e+001	(-4.05582684989954e-003dB,-3.26581797606050e-001°)
2.88403150312659e+001	(-3.85526422842896e-003dB,-3.34194562366504e-001°)
2.95120922666637e+001	(-3.64524596648056e-003dB,-3.41985058909778e-001°)
3.01995172040200e+001	(-3.42532610381700e-003dB,-3.49957456328633e-001°)
3.09029543251358e+001	(-3.19503763090994e-003dB,-3.58116022917443e-001°)
3.16227766016837e+001	(-2.95389149386746e-003dB,-3.66465128632850e-001°)
3.23593656929627e+001	(-2.70137555213482e-003dB,-3.75009247622541e-001°)
3.31131121482590e+001	(-2.43695348672421e-003dB,-3.83752960824438e-001°)
3.38844156139201e+001	(-2.16006365676098e-003dB,-3.92700958638906e-001°)
3.46736850452530e+001	(-1.87011790153789e-003dB,-4.01858043676370e-001°)
3.54813389233574e+001	(-1.56650028587337e-003dB,-4.11229133583293e-001°)
3.63078054770100e+001	(-1.24856578580279e-003dB,-4.20819263949155e-001°)
3.71535229097171e+001	(-9.15638911749264e-004dB,-4.30633591297518e-001°)
3.80189396320559e+001	(-5.67012266367766e-004dB,-4.40677396164478e-001°)
3.89045144994279e+001	(-2.01945033649830e-004dB,-4.50956086267353e-001°)
3.98107170553495e+001	(1.80338603739290e-004dB,-4.61475199767662e-001°)
4.07380277804111e+001	(5.80651122473634e-004dB,-4.72240408631612e-001°)
4.16869383470333e+001	(9.99843395579951e-004dB,-4.83257522092096e-001°)
4.26579518801591e+001	(1.43880651227177e-003dB,-4.94532490216225e-001°)
4.36515832240164e+001	(1.89847368437165e-003dB,-5.06071407582690e-001°)
4.46683592150961e+001	(2.37982224380089e-003dB,-5.17880517073458e-001°)
4.57088189614873e+001	(2.88387573530985e-003dB,-5.29966213784444e-001°)
4.67735141287196e+001	(3.41170610923338e-003dB,-5.42335049060302e-001°)
4.78630092322636e+001	(3.96443601891217e-003dB,-5.54993734658531e-001°)
4.89778819368444e+001	(4.54324122804925e-003dB,-5.67949147048392e-001°)
5.01187233627270e+001	(5.14935313309365e-003dB,-5.81208331851014e-001°)
5.12861383991362e+001	(5.78406140661503e-003dB,-5.94778508426145e-001°)
5.24807460249770e+001	(6.44871676708544e-003dB,-6.08667074612850e-001°)
5.37031796370250e+001	(7.14473388161377e-003dB,-6.22881611630877e-001°)
5.49540873857622e+001	(7.87359440793897e-003dB,-6.37429889150165e-001°)
5.62341325190346e+001	(8.63685018249395e-003dB,-6.52319870536189e-001°)
5.75439937337154e+001	(9.43612656173181e-003dB,-6.67559718279790e-001°)
5.88843655355586e+001	(1.02731259241846e-002dB,-6.83157799620227e-001°)
6.02559586074355e+001	(1.11496313412221e-002dB,-6.99122692370533e-001°)
6.16595001861479e+001	(1.20675104247305e-002dB,-7.15463190955755e-001°)
6.30957344480190e+001	(1.30287193604715e-002dB,-7.32188312674215e-001°)
6.45654229034652e+001	(1.40353071363058e-002dB,-7.49307304193092e-001°)
6.60693448007593e+001	(1.50894199748669e-002dB,-7.66829648290873e-001°)
6.76082975391978e+001	(1.61933059809389e-002dB,-7.84765070858480e-001°)
6.91830970918933e+001	(1.73493200141169e-002dB,-8.03123548173855e-001°)
7.07945784384134e+001	(1.85599287980408e-002dB,-8.21915314463387e-001°)
7.24435960074986e+001	(1.98277162779505e-002dB,-8.41150869766181e-001°)
7.41310241300914e+001	(2.11553892390773e-002dB,-8.60840988118179e-001°)
